expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
bikini dancer,0.6490327,0.41156804794445634,0.2663990490138531,0.14516899893060325
skimply lingerie,0.6464907,0.46205055196769534,0.24515650793910027,0.21689404402859508
barely-there bustier dancer,0.64044493,0.33542026821523907,0.2580635897815228,0.0773566784337163
sultry g-string shoot,0.6270975,0.14395665214397013,0.22705086469650268,-0.08309421255253255
lingerie shoot,0.621776,0.6393542945384979,0.25278336480259894,0.38657092973589896
sultry bustier pose,0.59351075,0.32401219503954054,0.21859417334198952,0.10541802169755102
lingerie dancer,0.5931001,0.4330086707137525,0.25939225405454636,0.17361641665920616
sexy lingerie,0.58844364,0.5454763561487198,0.23614468649029732,0.30933166965842246
see-through bikini,0.58603144,0.49120527668856084,0.24854208901524544,0.2426631876733154
bra and panties,0.57080144,0.42034299448132517,0.2212825186550617,0.19906047582626343
barely-there bodysuit performance,0.56492245,0.3272909038816579,0.2555220477283001,0.07176885615335778
string bikini,0.5582461,1.0276933608110994,0.49724533781409264,0.5304480229970068
silky lingerie,0.55434775,0.4390934367547743,0.25928246006369593,0.1798109766910784
flirty pasties pose,0.551865,0.25197741099109405,0.22911763712763786,0.022859773863456213
teasing g-string shoot,0.5461565,0.3418464865768328,0.2363608032464981,0.10548568333033473
seductive bustier show,0.544203,0.22146331121912227,0.22090380042791366,0.000559510791208595
see-through lingerie,0.5383777,0.39350319884251805,0.23092106208205224,0.1625821367604658
sultry thong performance,0.5229534,0.23450666218996047,0.20580844730138778,0.028698214888572694
tight lingerie,0.518139,0.404294880409725,0.2377835400402546,0.1665113403694704
mesh lingerie,0.5166071,0.49314002827741205,0.2509625248610973,0.24217750341631472
g-string dancer,0.51485133,0.29529304313473403,0.26681413128972054,0.0284789118450135
skin-baring babydoll dancer,0.48714215,0.4347900912165642,0.2627913922071457,0.1719986990094185
sheer bralette pose,0.48341897,0.22805297169834376,0.2340573750436306,-0.006004403345286846
sensual sheer bodysuit pose,0.48153156,0.30627922592684625,0.221210790425539,0.08506843550130724
leather lingerie,0.46962875,0.45557285444810985,0.2624208115041256,0.19315204294398428
lace lingerie,0.46163657,0.6118712483905255,0.2508769750595093,0.3609942733310163
bodycon dress,0.46139282,0.21457592975348233,0.2702335357666016,-0.05565760601311922
mesh dress,0.46115702,0.2711952307727188,0.2808847211301327,-0.009689490357413889
sensual translucent bodysuit performance,0.45895827,0.36439330419525506,0.24502896666526794,0.1193643375299871
provocative g-string dancer,0.4574839,0.37326091742143036,0.2557712227106094,0.11748969471082091
babydoll lingerie shoot,0.45297053,0.42397645823657515,0.24303727373480796,0.18093918450176716
fishnet bodysuit,0.44551528,0.3759212281554937,0.27214119508862494,0.10378003306686878
lace bra,0.4380718,0.4679532875539735,0.25321473851799964,0.21473854903597384
seductive bralette performance,0.43379462,0.368131816200912,0.22691227421164512,0.14121954198926687
transparent bra,0.4313039,0.21404642213601618,0.23150362372398375,-0.017457201587967576
revealing corset,0.42558706,0.301567770075053,0.26121253073215484,0.04035523934289813
