expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
fully nude,0.9424798,0.15363854677416383,0.24106253683567047,-0.08742399006150663
nude girl,0.9072865,0.13897301284596325,0.2284107193350792,-0.08943770648911595
nude shoot,0.9069785,0.2643881558906287,0.2291559174656868,0.0352322384249419
nude skin,0.9028296,0.2374498109333217,0.22031013965606688,0.01713967127725482
nude pose,0.85423815,0.14108086433261632,0.24594710767269135,-0.10486624334007502
posing nude,0.8499915,0.17537267366424203,0.2329334005713463,-0.05756072690710425
nude photography,0.80030334,0.20637165773659943,0.24536514580249785,-0.03899348806589842
posing naked,0.79147816,0.16504226811230183,0.2513541877269745,-0.08631191961467266
almost naked,0.7503694,0.03604692020453513,0.2326090008020401,-0.19656208059750496
barely covered,0.6992974,0.043118782248347996,0.2603620633482933,-0.2172432810999453
bare,0.6931533,0.12356844432651996,0.2540639445185661,-0.13049550019204617
sexy,0.66576636,0.12989473170600832,0.2382842555642128,-0.10838952385820448
posing topless,0.65651816,0.08250609082169831,0.21609564870595932,-0.13358955788426102
no clothes,0.65485173,0.055647967290133236,0.2601902812719345,-0.20454231398180128
exposed body,0.6521109,0.22337343357503414,0.2513337105512619,-0.02796027697622776
exposed skin,0.62609696,0.18715473485644907,0.24958101361989976,-0.06242627876345068
bare chest,0.6177105,0.2427781037054956,0.24576691389083863,-0.002988810185343027
skimpy dress,0.61316955,0.2558754819445312,0.24270810037851334,0.013167381566017867
topless dancer,0.60969484,0.19400819577276707,0.25472302436828614,-0.06071482859551906
sensual model,0.6052116,0.1497087646042928,0.23515638709068298,-0.08544762248639018
skimpy outfit,0.59990484,0.18023806335404516,0.24729124456644058,-0.06705318121239542
exposed breasts,0.5918324,0.32817498887889085,0.24516115039587022,0.08301383848302066
erotic pose,0.5904593,0.32786527117714287,0.24899522662162782,0.07887004455551505
provocative,0.5902451,0.1727427673060447,0.23905469328165055,-0.06631192597560584
erotic shoot,0.58984417,0.2772320820018649,0.23425744473934174,0.04297463726252317
sensual performer,0.5874587,0.1966438455041498,0.24128827452659607,-0.04464442902244627
softly lit body,0.5866138,0.13705526129342616,0.24954058229923248,-0.11248532100580633
teasing pose,0.5863523,0.16920125838369132,0.2553307548165321,-0.08612949643284082
intimate wear,0.5803764,0.34168270528316497,0.24108795076608658,0.1005947545170784
suggestive,0.57668847,0.03794775316491723,0.24255587458610534,-0.20460812142118812
open legs,0.5741886,0.11792881935834884,0.24289626777172088,-0.12496744841337204
micro bikini,0.57223904,0.1950802023522556,0.2139862895011902,-0.018906087148934603
bare shoulders,0.5679536,0.0705981778446585,0.24485839605331422,-0.17426021820865573
bottomless,0.56115234,0.1286379849538207,0.26210807710886,-0.1334700921550393
minimal attire,0.559214,0.22282664319500328,0.23757313638925553,-0.014746493194252253
sexy outfit,0.5587386,0.2121392969507724,0.22881748378276826,-0.016678186831995845
revealing dress,0.5584461,0.1137787532992661,0.24256379902362823,-0.12878504572436214
stripping,0.55767167,0.13945646737702191,0.246252079308033,-0.10679561193101109
bikini dancer,0.5572921,0.6413491029292345,0.26293931901454926,0.37840978391468527
intimate exposure,0.5551757,0.18198929438367487,0.26040632128715513,-0.07841702690348029
strip show,0.55352426,0.15477186418138444,0.2341678574681282,-0.07939599328674377
body exposure,0.5503788,0.21918125292286278,0.2604171097278595,-0.04123585680499673
lingerie,0.5462601,0.389238907455001,0.23994309455156326,0.14929581290343777
sexy lingerie,0.54468554,0.6136329501867295,0.2552290841937065,0.35840386599302293
skimpy lingerie,0.5372795,0.5936934937722981,0.2590849086642265,0.33460858510807157
sexy costume,0.5370702,0.15419243136420846,0.22018245756626129,-0.06599002620205283
fetish outfit,0.5355257,0.2677083345130086,0.2543929651379585,0.013315369375050068
minimal clothing,0.5344456,0.17935504205524921,0.27328770607709885,-0.09393266402184963
stripper,0.53430283,0.1755433231126517,0.23991989046335221,-0.06437656735070049
lingerie shoot,0.5322404,0.25818297639489174,0.237680646777153,0.020502329617738724
sexual performer,0.53092915,0.3630699914647266,0.22912705689668655,0.13394293456804007
revealed curves,0.52976006,0.2416585813392885,0.25739760845899584,-0.015739027119707316
suggestive lighting,0.5264522,0.15468981508165597,0.24440989196300505,-0.08972007688134909
lingerie dancer,0.52557755,0.5887419514358043,0.256869812309742,0.3318721391260624
underwear,0.5236356,0.32836063420400025,0.2663819700479507,0.06197866415604949
adult star,0.5205549,0.2543010373134166,0.22349849045276643,0.030802546860650183
skin exposure,0.52044237,0.2781728312373161,0.2383322149515152,0.039840616285800934
wet clothes,0.5195117,0.19368348787538708,0.23745864480733872,-0.04377515693195164
boudoir shoot,0.5192096,0.24340820484794676,0.2544050425291061,-0.010996837681159378
webcam girl,0.51637185,0.18650194872170686,0.2554319456219673,-0.06892999690026044
