expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
partially nude,0.9020645,0.07879352569580078,0.2377510964870453,-0.1589575707912445
naked,0.86703026,0.07879352569580078,0.24116769433021545,-0.16237416863441467
almost naked,0.84938383,0.07879352569580078,0.23818713426589966,-0.15939360857009888
no clothes,0.8364915,0.07879352569580078,0.2310512363910675,-0.15225771069526672
nude body,0.83476716,0.07879352569580078,0.23372609913349152,-0.15493257343769073
fully nude,0.833455,0.07879352569580078,0.23724332451820374,-0.15844979882240295
nude photo,0.83333486,0.07879352569580078,0.2371840924024582,-0.1583905667066574
nude model,0.8260113,0.07879352569580078,0.23139244318008423,-0.15259891748428345
nude figure,0.82108915,0.07879352569580078,0.22736535966396332,-0.14857183396816254
nude woman,0.8191619,0.07879352569580078,0.23268543183803558,-0.1538919061422348
scantily clad,0.8111732,0.16398381292819977,0.23763421177864075,-0.07365039885044097
nude shoot,0.8078051,0.07879352569580078,0.23222628235816956,-0.15343275666236877
nude,0.8033931,0.07879352569580078,0.2342529445886612,-0.1554594188928604
posing naked,0.8030151,0.07879352569580078,0.2340930998325348,-0.155299574136734
nude girl,0.80180943,0.07879352569580078,0.23235195875167847,-0.15355843305587769
nsfw,0.79755914,0.07879352569580078,0.22661305963993073,-0.14781953394412994
posing nude,0.796085,0.07879352569580078,0.22892284393310547,-0.1501293182373047
sexualized,0.79282767,0.5211509704589844,0.2756027981638908,0.24554817229509354
nsfw content,0.79183537,0.07879352569580078,0.21748045086860657,-0.1386869251728058
nude photography,0.78822494,0.07879352569580078,0.23071864247322083,-0.15192511677742004
skimpy,0.7880974,0.11040111482143403,0.23168129175901414,-0.12128017693758011
shirtless,0.7875194,0.07879352569580078,0.2321643978357315,-0.15337087213993073
nude portrait,0.78088486,0.07879352569580078,0.22964023053646088,-0.1508467048406601
raunchy,0.7800404,0.11620448231697082,0.2139384537935257,-0.09773397147655487
nsfw creator,0.7777928,0.17237451779656113,0.2517338916659355,-0.07935937386937439
nude skin,0.7719144,0.07879352569580078,0.23119130730628967,-0.1523977816104889
bare figure,0.76898366,0.07879352569580078,0.2309039682149887,-0.15211044251918793
semi-nude,0.7652318,0.07879352569580078,0.2302607297897339,-0.1514672040939331
slutty,0.7642299,0.15776609033346176,0.23935658261179923,-0.08159049227833748
barely covered,0.76387405,0.1957074952311814,0.26617619171738627,-0.07046869648620487
nude pose,0.76020837,0.07879352569580078,0.2286107838153839,-0.14981725811958313
provocative,0.75959367,0.19451107187196612,0.2388794630765915,-0.044368391204625365
nude influencer,0.7515681,0.07879352569580078,0.2415904402732849,-0.16279691457748413
exposed body,0.7422335,0.07879352569580078,0.2208257019519806,-0.1420321762561798
bare,0.741513,0.07879352569580078,0.23075011372566223,-0.15195658802986145
suggestive,0.73344886,0.20618402159307153,0.2778401836752892,-0.07165616208221763
bare chest,0.73333925,0.07973126210272312,0.2323429949581623,-0.1526117328554392
semi nude,0.7244718,0.07879352569580078,0.2351636290550232,-0.1563701033592224
provocative subject,0.7213062,0.07353425277397037,0.2265550509095192,-0.15302079813554884
salacious,0.72113955,0.2124880224931985,0.24236906468868255,-0.029881042195484042
bare skin,0.71881336,0.11306233201175928,0.23192775696516038,-0.11886542495340109
bare torso,0.7169594,0.07879352569580078,0.23026123642921448,-0.1514677107334137
lewd,0.7157972,0.14738971516489982,0.23210807219147683,-0.084718357026577
exposed breasts,0.713674,0.0766285177320242,0.2317975230515003,-0.15516900531947614
painted body,0.71363646,0.06920763989910483,0.24408329129219056,-0.17487565139308572
intimate wear,0.71242094,0.6036018952727318,0.2756694510579109,0.3279324442148209
strip show,0.71229136,0.17829040493816137,0.2375697299838066,-0.05927932504564524
glamour nude,0.7078762,0.07879352569580078,0.23083621263504028,-0.1520426869392395
intimate exposure,0.70126146,0.2084989211987704,0.2509434372186661,-0.04244451601989567
erotic,0.7011632,0.12243230044841766,0.22695038393139838,-0.10451808348298072
